state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share
Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,ST,TDP,338101,31.36
Andhra Pradesh,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,ST,BJP,17867,1.66
Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,YSRCP,562190,52.14
Andhra Pradesh,Aruku ,SHRUTI DEVI VYRICHERLA,ST,INC,17730,1.64
Andhra Pradesh,Aruku ,GANGULAIAH VAMPURU.,ST,JnP,42794,3.97
Andhra Pradesh,Aruku ,SWAMULA. SUBRAHMANYAM,ST,JAJGP,4710,0.44
Andhra Pradesh,Aruku ,ANUMULA VAMSIKRISHNA,ST,IND,10240,0.95
Andhra Pradesh,Aruku ,KANGALA BALUDORA,ST,IND,13826,1.28
Andhra Pradesh,Aruku ,NARAVA SATYAVATHI,ST,IND,11236,1.04
Andhra Pradesh,Aruku ,BIDDIKA RAMAYYA.,ST,IND,7867,0.73
Andhra Pradesh,Aruku ,NOTA,,NOTA,47977,4.45
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GENERAL,TDP,534544,45.91
Andhra Pradesh,Srikakulam,DOLA JAGAN,GENERAL,INC,13745,1.18
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,GENERAL,YSRCP,527891,45.34
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,GENERAL,BJP,8390,0.72
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,GENERAL,PPOI,1448,0.12
Andhra Pradesh,Srikakulam,METTA RAMARAO,GENERAL,JnP,31956,2.74
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,GENERAL,IND,4836,0.42
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,GENERAL,IND,5156,0.44
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,GENERAL,IND,3818,0.33
Andhra Pradesh,Srikakulam,NOTA,,NOTA,25545,2.19
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,GENERAL,TDP,530382,43.39
Andhra Pradesh,Vizianagaram,Adiraju Yedla,GENERAL,INC,15725,1.29
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GENERAL,YSRCP,578418,47.32
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,GENERAL,BJP,7266,0.59
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,GENERAL,SAPRP,4983,0.41
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,GENERAL,ACP,1263,0.10
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,GENERAL,JnP,34192,2.80
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,GENERAL,JAJGP,791,0.06
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,GENERAL,PPOI,830,0.07
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,SC,IND,1010,0.08
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,GENERAL,IND,1176,0.10
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,GENERAL,IND,1462,0.12
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,GENERAL,IND,4553,0.37
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,GENERAL,IND,6338,0.52
