state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,YSRCP,562190,52.14,Winner,Not Found,Not Found
Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,ST,TDP,338101,31.36,2nd place,Not Found,Not Found
Andhra Pradesh,Aruku ,NOTA,,NOTA,47977,4.45,3rd place,NA,NA
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GENERAL,TDP,534544,45.91,Winner,Not Found,Not Found
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,GENERAL,YSRCP,527891,45.34,2nd place,Not Found,Not Found
Andhra Pradesh,Srikakulam,METTA RAMARAO,GENERAL,JnP,31956,2.74,3rd place,Not Found,Not Found
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GENERAL,YSRCP,578418,47.32,Winner,Not Found,Not Found
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,GENERAL,TDP,530382,43.39,2nd place,Not Found,Not Found
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,GENERAL,JnP,34192,2.8,3rd place,Not Found,Not Found
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GENERAL,YSRCP,436906,35.24,Winner,Not Found,Not Found
Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,GENERAL,TDP,432492,34.88,2nd place,Not Found,Not Found
Andhra Pradesh,Visakhapatnam,V.V. LAKSHMI NARAYANA,GENERAL,JnP,288874,23.3,3rd place,Not Found,Not Found
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GENERAL,YSRCP,586226,47.26,Winner,Not Found,Not Found
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,GENERAL,TDP,497034,40.07,2nd place,Not Found,Not Found
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,GENERAL,JnP,82588,6.66,3rd place,Not Found,Not Found
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GENERAL,YSRCP,537630,43.47,Winner,Not Found,Not Found
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,GENERAL,TDP,511892,41.39,2nd place,Not Found,Not Found
Andhra Pradesh,Kakinada,JYOTHULA VENKATESWARA RAO,GENERAL,JnP,132648,10.72,3rd place,Not Found,Not Found
Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,YSRCP,485958,39.34,Winner,Not Found,Not Found
Andhra Pradesh,Amalapuram ,GANTI HARISH MADHUR (BALAYOGI),SC,TDP,446163,36.12,2nd place,Not Found,Not Found
Andhra Pradesh,Amalapuram ,D M R SEKHAR,SC,JnP,255317,20.67,3rd place,Not Found,Not Found
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GENERAL,YSRCP,582024,46.54,Winner,Not Found,Not Found
Andhra Pradesh,Rajahmundry,MAGANTI ROOPA,GENERAL,TDP,460390,36.82,2nd place,Not Found,Not Found
Andhra Pradesh,Rajahmundry,AKULA SATYANARAYANA,GENERAL,JnP,155807,12.46,3rd place,Not Found,Not Found
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GENERAL,YSRCP,449234,38.1,Winner,Not Found,Not Found
Andhra Pradesh,Narsapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),GENERAL,TDP,416558,35.33,2nd place,Not Found,Not Found
Andhra Pradesh,Narsapuram,NAGABABU KONIDELA,GENERAL,JnP,250802,21.27,3rd place,Not Found,Not Found
Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GENERAL,YSRCP,676809,50.8,Winner,Not Found,Not Found
Andhra Pradesh,Eluru ,MAGANTTI VENKATESWARA RAO BABU,GENERAL,TDP,510884,38.35,2nd place,Not Found,Not Found
Andhra Pradesh,Eluru ,PENTAPATI PULLARAO,GENERAL,JnP,76827,5.77,3rd place,Not Found,Not Found
Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GENERAL,YSRCP,572850,45.99,Winner,Not Found,Not Found
Andhra Pradesh,Machilipatnam ,KONAKALLA NARAYANA RAO,GENERAL,TDP,512612,41.16,2nd place,Not Found,Not Found
Andhra Pradesh,Machilipatnam ,BANDREDDI RAMAKRISHNA,GENERAL,JnP,113442,9.11,3rd place,Not Found,Not Found
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GENERAL,TDP,575498,45.04,Winner,Not Found,Not Found
Andhra Pradesh,Vijayawada,POTLURI.V.PRASAD ( P V P ),GENERAL,YSRCP,566772,44.36,2nd place,Not Found,Not Found
Andhra Pradesh,Vijayawada,Muttamsetty Prasad babu,GENERAL,JnP,81650,6.39,3rd place,Not Found,Not Found
Andhra Pradesh,Guntur,Jayadev Galla,GENERAL,TDP,587918,43.5,Winner,Not Found,Not Found
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,GENERAL,YSRCP,583713,43.19,2nd place,Not Found,Not Found
Andhra Pradesh,Guntur,Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),GENERAL,JnP,129205,9.56,3rd place,Not Found,Not Found
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GENERAL,YSRCP,745557,51.75,Winner,Not Found,Not Found
Andhra Pradesh,Narasaraopet,RAYAPATI SAMBASIVARAO,GENERAL,TDP,591555,41.06,2nd place,Not Found,Not Found
Andhra Pradesh,Narasaraopet,NAYUB KAMAL SHAIK,GENERAL,JnP,51008,3.54,3rd place,Not Found,Not Found
Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,YSRCP,598257,47.11,Winner,Not Found,Not Found
Andhra Pradesh,Bapatla ,MALYADRI SRIRAM,SC,TDP,582192,45.84,2nd place,Not Found,Not Found
Andhra Pradesh,Bapatla ,K. DEVANAND,SC,BSP,42580,3.35,3rd place,Not Found,Not Found
Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GENERAL,YSRCP,739202,55.0,Winner,Not Found,Not Found
Andhra Pradesh,Ongole ,SIDDA RAGHAVA RAO,GENERAL,TDP,524351,39.01,2nd place,Not Found,Not Found
Andhra Pradesh,Ongole ,BELLAMKONDA SAIBABU,GENERAL,JnP,29379,2.19,3rd place,Not Found,Not Found
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GENERAL,YSRCP,720888,55.46,Winner,Not Found,Not Found
Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,GENERAL,TDP,470769,36.22,2nd place,Not Found,Not Found
Andhra Pradesh,Nandyal,S.P.Y. REDDY,GENERAL,JnP,38871,2.99,3rd place,Not Found,Not Found
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GENERAL,YSRCP,605462,50.85,Winner,Not Found,Not Found
Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,GENERAL,TDP,456395,38.33,2nd place,Not Found,Not Found
Andhra Pradesh,Kurnool,AHMED ALI KHAN,GENERAL,INC,36500,3.07,3rd place,Not Found,Not Found
Andhra Pradesh,Anantapur,TALARI RANGAIAH,GENERAL,YSRCP,695208,51.57,Winner,Not Found,Not Found
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,GENERAL,TDP,553780,41.08,2nd place,Not Found,Not Found
Andhra Pradesh,Anantapur,K.RAJIV REDDY,GENERAL,INC,30079,2.23,3rd place,Not Found,Not Found
